Designator,Mid X,Mid Y,Rotation,Layer
C1,20.340102,43.287888,0.0,top
C10,20.615102,43.892888,270.0,bottom
C13,51.345102,51.912888,180.0,bottom
C15,31.715102,69.387888,90.0,top
C17,53.615102,42.342888,90.0,top
C19,26.815102,38.362888,0.0,top
C2,20.615102,46.482888,90.0,bottom
C21,26.485102,41.587888,180.0,bottom
C22,27.065102,49.862888,90.0,bottom
C23,24.340102,48.837888,0.0,bottom
C24,25.790102,49.287888,90.0,bottom
C25,45.165102,44.687888,180.0,top
C26,20.615102,42.007888,270.0,bottom
C27,36.165102,58.962888,90.0,top
C28,29.165102,61.212888,180.0,top
C29,20.615102,48.367888,90.0,bottom
C3,28.965102,54.987888,270.0,top
C30,29.940102,59.687888,180.0,top
C31,29.940102,57.562888,180.0,top
C33,31.890102,41.617888,90.0,bottom
C34,29.915102,48.612888,180.0,top
C35,54.640102,42.342888,90.0,top
C36,35.715102,53.362888,180.0,bottom
C37,39.090102,45.487888,270.0,bottom
C38,28.790102,51.362888,180.0,bottom
C39,37.585102,43.512888,0.0,bottom
C4,20.390102,45.087888,0.0,top
C40,35.440102,53.937888,180.0,top
C42,37.165102,40.087888,90.0,bottom
C43,31.890102,39.782888,270.0,bottom
C6,20.390102,46.887888,0.0,top
C8,35.440102,55.462888,0.0,top
C9,20.365102,48.687888,0.0,top
D5,50.515102,39.787888,270.0,bottom
D6,37.600102,41.612888,180.0,bottom
IC1,24.265102,45.187888,270.0,bottom
J1_2,76.372092,21.6,135.0,bottom
J1,43.571025,52.365903,45.0,bottom
J14,44.465102,36.247888,180.0,bottom
J15,16.865102,45.162888,180.0,top
J2,63.042102,63.07,180.0,bottom
J3_2,68.192102,50.4,0.0,top
J3,41.045092,56.687888,225.0,top
L1,40.040102,62.812888,315.0,bottom
L3,33.565102,63.437888,90.0,top
LED1,23.965102,38.287888,0.0,bottom
LED2,15.965102,38.287888,0.0,bottom
Q3,47.165102,59.937888,180.0,top
R1,26.690102,41.512888,180.0,top
R10,43.990102,60.137888,270.0,top
R11,22.815102,52.737888,90.0,bottom
R12,24.140102,52.662888,90.0,bottom
R13,30.790102,41.587888,270.0,bottom
R14,27.715102,69.437888,90.0,top
R15,45.165102,42.637888,0.0,top
R16,49.315102,59.462888,90.0,top
R2,26.815102,39.362888,0.0,top
R3,45.415102,31.637888,90.0,top
R30,19.115102,47.250388,270.0,bottom
R32,24.315102,49.837888,180.0,bottom
R34,19.115102,43.125388,90.0,bottom
R35,35.165102,49.527888,90.0,top
R36,36.265102,49.512888,90.0,top
R38,37.600102,42.562888,0.0,bottom
R4,43.940102,31.737888,90.0,top
R5,45.190102,46.287888,0.0,top
R6,17.540102,39.437888,90.0,top
R7,26.290102,39.812888,180.0,bottom
R8,45.165102,43.662888,180.0,top
R9,34.840102,44.987888,0.0,top
SW1,46.38802,47.16497,225.0,bottom
SW2,48.68802,49.46497,225.0,bottom
U1,31.852602,54.762888,180.0,top
U2,33.465102,47.737888,0.0,bottom
U3,21.965102,40.087888,0.0,top
U5,30.965102,58.087888,180.0,bottom
U6,33.415102,58.625388,270.0,top
U7,48.465102,44.987888,270.0,top
U8,36.265102,56.612888,90.0,bottom
Y1,34.515102,40.562888,0.0,bottom
